names,scores,logfoldchanges,pvals,pvals_adj
LYZ,20.290262,1.8421551,1.5675848274342397e-91,3.2627710598216266e-87
HLA-DRA,20.037119,1.2777722,2.6147218626346986e-89,2.721141042443931e-85
HLA-B,18.942863,0.8880223,5.056965713481251e-80,3.508522812013292e-76
HLA-A,17.708345,0.7301615,3.6154523077589094e-70,1.519970087516929e-66
H2AFJ,17.70779,1.0811396,3.6513166318750096e-70,1.519970087516929e-66
MCCD1,17.586496,2.1933265,3.1261529975117105e-69,1.0844624748368124e-65
HLA-DRB5,17.476397,1.3530407,2.167714158121357e-68,6.445543212448275e-65
CD74,17.33518,0.84848535,2.552682064424119e-67,6.641440561115452e-64
SNCG,17.218887,2.2383864,1.9163526336360248e-66,3.4730216105170836e-63
HLA-DRB1,17.216347,1.2427213,2.0023185993180073e-66,3.4730216105170836e-63
ZNF703,17.128157,0.9768712,9.15087827949113e-66,1.3604741464952027e-62
B2M,16.906923,0.58260983,4.000506217124782e-64,5.5511024268823475e-61
MGP,16.66275,1.2477825,2.4451409325089204e-62,2.827397964957815e-59
FCGRT,16.614012,1.4799228,5.517668909397094e-62,6.044461088431111e-59
IGFBP4,16.464935,0.88374406,6.553203611193055e-61,6.819918998168613e-58
WFDC2,16.191313,1.9833788,5.807620377035755e-59,5.756181453696296e-56
CXCL9,16.00985,2.0901682,1.0907259850886394e-57,1.0319259388015882e-54
RAB11FIP1,15.918484,1.2051046,4.716713209865269e-57,4.268420380440683e-54
CST3,15.855297,0.5892972,1.2921546610905684e-56,1.1206211298307954e-53
COX6C,15.731623,1.1821601,9.182717080846378e-56,7.078854567434686e-53
SLC39A6,15.670977,1.0381163,2.3888134633622604e-55,1.775741550943646e-52
TMSB4X,15.628428,0.7302872,4.6615730143876356e-55,3.34572347315394e-52
HLA-DPA1,15.369253,1.256959,2.631872847332951e-53,1.7670903691738079e-50
CSTA,15.049431,1.4655598,3.4821963859227684e-51,2.2649511117686406e-48
HLA-DPB1,14.761916,1.2638557,2.5785103296885674e-49,1.578503353004054e-46
ADIRF,14.6948395,0.5831208,6.956302488318687e-49,4.13681371405329e-46
ERLIN2,14.228085,1.0756488,6.133878215703055e-46,3.1917635295410847e-43
MT-ND1,14.149499,0.90246904,1.880939376272796e-45,9.548749311644385e-43
HLA-DQA1,14.07377,1.5010055,5.505454473237507e-45,2.630779334714258e-42
UGCG,14.019315,1.1477106,1.1875511612414042e-44,5.492819971128575e-42
S100G,13.972242,1.3068656,2.302597575392402e-44,1.0418753463960316e-41
HLA-DQB1,13.860158,1.2516373,1.104307728066967e-43,4.690828786119561e-41
HLA-E,13.471434,0.71893746,2.303488131389962e-41,8.878667030879754e-39
MT-CO1,13.30418,0.7108686,2.1888116760139326e-40,8.283259313555272e-38
CYBA,13.19535,1.0538884,9.332048766445073e-40,3.468522554014067e-37
HLA-C,13.004203,0.51564896,1.1580028303637664e-38,3.951257526424825e-36
METRN,12.898468,0.8157358,4.591313569633614e-38,1.541348397392807e-35
TBC1D9,12.779557,0.938793,2.1328052467303905e-37,7.046382286578786e-35
BAMBI,12.590871,0.7185881,2.3704416246463936e-36,7.475510905362127e-34
SLC9A3R1,12.499266,0.48947173,7.534364066595308e-36,2.2727572997407932e-33
IER3,12.481723,0.9201613,9.393163998269151e-36,2.7536523304221707e-33
DDR1,12.457194,0.7374101,1.2778718407216523e-35,3.6435102044904756e-33
SCGB2A2,12.10054,1.2329079,1.0491878188390659e-33,2.6631457635751604e-31
ABHD2,12.039179,0.96029603,2.2114510408045002e-33,5.545679754615044e-31
C3,12.037194,1.0077884,2.265286711764488e-33,5.613056859365007e-31
PVALB,11.964245,1.040453,5.4693211864412134e-33,1.3237029206347376e-30
TFF3,11.826599,0.71003056,2.8443332779086343e-32,6.65190481420116e-30
PFN1,11.628149,0.36588413,2.9645580801147258e-31,6.495190724158727e-29
APOC1,11.61267,0.7035284,3.5534346952363644e-31,7.704290598609342e-29
PDE5A,11.416601,1.5774863,3.4548211468792796e-30,7.263499732438922e-28
SELENOP,11.089793,0.7671568,1.4061205010955004e-28,2.841455544640946e-26
SCGB1D2,11.087968,1.2219595,1.4351107123920091e-28,2.872153304589162e-26
RERG,11.043594,1.1046668,2.35423543228126e-28,4.622741159198315e-26
HLA-DMA,11.027877,1.0222708,2.804062392729012e-28,5.454556508622584e-26
AMFR,11.021765,0.86344206,3.0011678522006007e-28,5.783917377379936e-26
SERPINA5,10.972549,1.6010323,5.179134081545853e-28,9.799863343026853e-26
FASN,10.954133,0.45771235,6.348341846052857e-28,1.179771314140573e-25
PLPBP,10.932939,1.0189313,8.0208294938174255e-28,1.4773942042859814e-25
TFF1,10.848082,0.9381004,2.036559233581541e-27,3.6542193006695e-25
ST8SIA6-AS1,10.681066,1.5154192,1.2483064944912425e-26,2.201885709859383e-24
FLOT1,10.640581,0.6601365,1.9292132334221132e-26,3.3462203533706555e-24
